2024-01-30 13:32:35,906 INFO    MainThread:26223 [wandb_setup.py:_flush():76] Current SDK version is 0.16.2
2024-01-30 13:32:35,907 INFO    MainThread:26223 [wandb_setup.py:_flush():76] Configure stats pid to 26223
2024-01-30 13:32:35,907 INFO    MainThread:26223 [wandb_setup.py:_flush():76] Loading settings from /GPFS/rhome/xiajunkai/.config/wandb/settings
2024-01-30 13:32:35,907 INFO    MainThread:26223 [wandb_setup.py:_flush():76] Loading settings from /GPFS/rhome/xiajunkai/lctgen/wandb/settings
2024-01-30 13:32:35,907 INFO    MainThread:26223 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-01-30 13:32:35,907 INFO    MainThread:26223 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-01-30 13:32:35,907 INFO    MainThread:26223 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'lctgen/main.py', 'program_abspath': '/GPFS/rhome/xiajunkai/lctgen/lctgen/main.py', 'program': 'lctgen/main.py'}
2024-01-30 13:32:35,907 INFO    MainThread:26223 [wandb_init.py:_log_setup():526] Logging user logs to results/lctgen/inference/wandb/run-20240130_133235-74z18ai2/logs/debug.log
2024-01-30 13:32:35,907 INFO    MainThread:26223 [wandb_init.py:_log_setup():527] Logging internal logs to results/lctgen/inference/wandb/run-20240130_133235-74z18ai2/logs/debug-internal.log
2024-01-30 13:32:35,907 INFO    MainThread:26223 [wandb_init.py:init():566] calling init triggers
2024-01-30 13:32:35,907 INFO    MainThread:26223 [wandb_init.py:init():573] wandb.init called with sweep_config: {}
config: {}
2024-01-30 13:32:35,907 INFO    MainThread:26223 [wandb_init.py:init():616] starting backend
2024-01-30 13:32:35,907 INFO    MainThread:26223 [wandb_init.py:init():620] setting up manager
2024-01-30 13:32:35,909 INFO    MainThread:26223 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-01-30 13:32:35,912 INFO    MainThread:26223 [wandb_init.py:init():628] backend started and connected
2024-01-30 13:32:35,917 INFO    MainThread:26223 [wandb_init.py:init():720] updated telemetry
2024-01-30 13:32:36,136 INFO    MainThread:26223 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-01-30 13:32:37,172 INFO    MainThread:26223 [wandb_run.py:_on_init():2254] communicating current version
2024-01-30 13:32:37,475 INFO    MainThread:26223 [wandb_run.py:_on_init():2263] got version response 
2024-01-30 13:32:37,475 INFO    MainThread:26223 [wandb_init.py:init():804] starting run threads in backend
2024-01-30 13:32:52,771 INFO    MainThread:26223 [wandb_run.py:_console_start():2233] atexit reg
2024-01-30 13:32:52,771 INFO    MainThread:26223 [wandb_run.py:_redirect():2088] redirect: wrap_raw
2024-01-30 13:32:52,771 INFO    MainThread:26223 [wandb_run.py:_redirect():2153] Wrapping output streams.
2024-01-30 13:32:52,772 INFO    MainThread:26223 [wandb_run.py:_redirect():2178] Redirects installed.
2024-01-30 13:32:52,773 INFO    MainThread:26223 [wandb_init.py:init():847] run started, returning control to user process
